,Landfall,Days,MaxWind,MinWind,AWind
0,1.0,10.0,80.0,40.0,60.714285714285715
1,0.0,5.0,80.0,80.0,80.0
2,0.0,37.0,50.0,50.0,50.0
3,1.0,28.0,100.0,40.0,65.10204081632654
4,0.0,33.0,50.0,50.0,50.0
5,1.0,308.0,60.0,40.0,52.94117647058823
6,1.0,17.0,100.0,40.0,73.33333333333333
7,0.0,4.0,70.0,40.0,57.5
8,1.0,13.0,70.0,50.0,67.0
9,0.0,14.0,80.0,50.0,72.77777777777777
10,1.0,303.0,90.0,50.0,79.6
11,0.0,5.0,50.0,50.0,50.0
12,0.0,20.0,40.0,40.0,40.0
13,0.0,9.0,130.0,40.0,92.91666666666667
14,0.0,13.0,100.0,90.0,98.33333333333333
15,0.0,5.0,50.0,50.0,50.0
16,0.0,2.0,70.0,50.0,65.45454545454545
17,0.0,21.0,50.0,50.0,50.0
18,0.0,249.0,90.0,70.0,81.42857142857143
19,1.0,59.0,70.0,40.0,58.18181818181818
20,0.0,15.0,60.0,60.0,60.0
21,1.0,11.0,110.0,40.0,83.2
22,1.0,32.0,90.0,40.0,73.63636363636364
23,0.0,290.0,60.0,50.0,55.0
24,0.0,4.0,90.0,90.0,90.0
25,0.0,1.0,90.0,90.0,90.0
26,0.0,13.0,70.0,70.0,70.0
27,0.0,22.0,60.0,40.0,53.75
28,1.0,329.0,110.0,40.0,84.54545454545455
29,1.0,4.0,130.0,40.0,86.42857142857143
30,0.0,6.0,70.0,70.0,70.0
31,1.0,2.0,50.0,50.0,50.0
32,0.0,4.0,50.0,50.0,50.0
33,1.0,24.0,100.0,50.0,73.25
34,0.0,285.0,70.0,50.0,61.0
35,0.0,68.0,50.0,50.0,50.0
36,1.0,16.0,90.0,40.0,67.87234042553192
37,0.0,2.0,70.0,70.0,70.0
38,1.0,261.0,90.0,40.0,65.17241379310344
39,0.0,54.0,70.0,70.0,70.0
40,0.0,40.0,70.0,70.0,70.0
41,1.0,3.0,90.0,40.0,66.875
42,0.0,5.0,80.0,50.0,76.25
43,0.0,29.0,80.0,50.0,70.0
44,0.0,253.0,90.0,50.0,70.9090909090909
45,0.0,47.0,90.0,90.0,90.0
46,0.0,16.0,90.0,90.0,90.0
47,0.0,10.0,70.0,70.0,70.0
48,0.0,3.0,90.0,70.0,81.42857142857143
49,1.0,17.0,70.0,40.0,59.375
50,0.0,14.0,110.0,80.0,98.0
51,1.0,8.0,60.0,40.0,55.45454545454545
52,1.0,289.0,80.0,40.0,61.666666666666664
53,1.0,16.0,110.0,40.0,64.85714285714286
54,0.0,18.0,90.0,60.0,75.0
55,0.0,0.0,70.0,70.0,70.0
56,1.0,7.0,90.0,40.0,85.21739130434783
57,0.0,12.0,60.0,40.0,53.75
58,1.0,20.0,90.0,40.0,67.6470588235294
59,0.0,259.0,90.0,70.0,76.66666666666667
60,0.0,38.0,90.0,50.0,65.71428571428571
61,0.0,12.0,80.0,40.0,65.0
62,0.0,23.0,90.0,80.0,83.33333333333333
63,0.0,10.0,70.0,70.0,70.0
64,1.0,9.0,70.0,50.0,61.42857142857143
65,0.0,1.0,60.0,50.0,57.5
66,1.0,25.0,50.0,50.0,50.0
67,1.0,226.0,70.0,50.0,60.666666666666664
68,0.0,64.0,50.0,50.0,50.0
69,0.0,25.0,90.0,80.0,87.6923076923077
70,0.0,24.0,90.0,60.0,82.3529411764706
71,0.0,8.0,50.0,50.0,50.0
72,0.0,39.0,70.0,50.0,65.71428571428571
73,0.0,259.0,60.0,40.0,55.714285714285715
74,0.0,10.0,90.0,70.0,77.5
75,0.0,1.0,90.0,70.0,82.5
76,0.0,8.0,90.0,60.0,80.55555555555556
77,0.0,13.0,90.0,80.0,87.5
78,0.0,7.0,70.0,50.0,65.625
79,1.0,2.0,60.0,40.0,53.333333333333336
80,0.0,8.0,50.0,40.0,46.666666666666664
81,0.0,3.0,50.0,40.0,47.5
82,1.0,291.0,60.0,40.0,47.5
83,0.0,9.0,70.0,60.0,66.66666666666667
84,0.0,32.0,60.0,60.0,60.0
85,0.0,10.0,70.0,40.0,68.07692307692308
86,0.0,47.0,50.0,50.0,50.0
87,0.0,220.0,70.0,50.0,61.666666666666664
88,0.0,31.0,50.0,50.0,50.0
89,1.0,51.0,50.0,50.0,50.0
90,0.0,17.0,60.0,50.0,55.0
91,1.0,1.0,90.0,40.0,85.67567567567568
92,1.0,21.0,60.0,60.0,60.0
93,0.0,20.0,70.0,70.0,70.0
94,1.0,266.0,90.0,40.0,67.05882352941177
95,1.0,33.0,90.0,40.0,85.78947368421052
96,0.0,22.0,90.0,40.0,78.63636363636364
97,0.0,14.0,70.0,60.0,68.57142857142857
98,0.0,4.0,70.0,70.0,70.0
99,0.0,2.0,90.0,60.0,75.0
100,0.0,35.0,120.0,70.0,91.25
101,0.0,235.0,60.0,40.0,52.857142857142854
102,1.0,37.0,70.0,40.0,55.45454545454545
103,0.0,5.0,90.0,70.0,76.42857142857143
104,0.0,29.0,90.0,90.0,90.0
105,0.0,8.0,70.0,60.0,65.0
106,0.0,21.0,50.0,50.0,50.0
107,0.0,3.0,90.0,70.0,77.0
108,1.0,7.0,90.0,40.0,71.76470588235294
109,0.0,18.0,40.0,40.0,40.0
110,0.0,312.0,110.0,40.0,69.41176470588235
111,0.0,28.0,90.0,70.0,77.77777777777777
112,1.0,4.0,70.0,40.0,54.827586206896555
113,0.0,10.0,90.0,90.0,90.0
114,0.0,301.0,90.0,70.0,80.0
115,0.0,4.0,90.0,90.0,90.0
116,1.0,11.0,90.0,40.0,81.11111111111111
117,0.0,5.0,70.0,70.0,70.0
118,0.0,3.0,60.0,50.0,55.0
119,1.0,3.0,70.0,40.0,64.44444444444444
120,1.0,4.0,100.0,50.0,90.83333333333333
121,0.0,3.0,90.0,60.0,80.3125
122,0.0,17.0,60.0,60.0,60.0
123,0.0,3.0,50.0,50.0,50.0
124,1.0,299.0,90.0,50.0,82.0
125,0.0,31.0,70.0,70.0,70.0
126,0.0,2.0,90.0,50.0,74.16666666666667
127,0.0,8.0,60.0,40.0,51.25
128,0.0,8.0,110.0,70.0,90.0
129,0.0,18.0,80.0,70.0,76.25
130,0.0,2.0,100.0,40.0,79.0
131,0.0,3.0,70.0,70.0,70.0
132,0.0,9.0,70.0,70.0,70.0
133,1.0,4.0,90.0,60.0,77.77777777777777
134,0.0,7.0,90.0,90.0,90.0
135,0.0,214.0,70.0,40.0,61.5
136,1.0,7.0,50.0,30.0,44.285714285714285
137,1.0,67.0,50.0,30.0,42.30769230769231
138,1.0,3.0,100.0,30.0,70.97560975609755
139,1.0,13.0,100.0,30.0,64.03508771929825
140,0.0,6.0,90.0,90.0,90.0
141,1.0,25.0,70.0,50.0,62.94117647058823
142,1.0,10.0,70.0,40.0,55.45454545454545
143,0.0,273.0,70.0,50.0,68.57142857142857
144,1.0,42.0,50.0,30.0,42.72727272727273
145,0.0,20.0,90.0,40.0,68.03571428571429
146,0.0,21.0,70.0,40.0,65.0
147,0.0,22.0,70.0,40.0,61.42857142857143
148,1.0,222.0,70.0,40.0,45.0
149,1.0,73.0,40.0,30.0,38.75
150,0.0,36.0,100.0,40.0,72.1875
151,1.0,4.0,70.0,50.0,66.92307692307692
152,1.0,4.0,50.0,40.0,44.61538461538461
153,1.0,279.0,100.0,40.0,68.47457627118644
154,1.0,32.0,50.0,30.0,45.333333333333336
155,0.0,26.0,70.0,50.0,63.0
156,0.0,4.0,80.0,40.0,62.38095238095238
157,0.0,6.0,50.0,30.0,37.5
158,0.0,17.0,50.0,50.0,50.0
159,1.0,36.0,80.0,30.0,53.7037037037037
160,0.0,289.0,90.0,40.0,61.5
161,0.0,16.0,70.0,70.0,70.0
162,0.0,7.0,70.0,40.0,65.5
163,1.0,16.0,100.0,30.0,77.55555555555556
164,1.0,13.0,50.0,30.0,46.111111111111114
165,0.0,5.0,90.0,70.0,78.75
166,0.0,333.0,70.0,40.0,57.0
167,0.0,3.0,80.0,60.0,71.66666666666667
168,1.0,4.0,100.0,30.0,61.515151515151516
169,0.0,13.0,50.0,50.0,50.0
170,0.0,13.0,90.0,50.0,66.53846153846153
171,1.0,293.0,100.0,40.0,68.57142857142857
172,0.0,44.0,60.0,40.0,52.77777777777778
173,1.0,2.0,70.0,40.0,56.76470588235294
174,0.0,5.0,70.0,60.0,68.57142857142857
175,1.0,3.0,100.0,40.0,72.95081967213115
176,0.0,19.0,50.0,40.0,43.333333333333336
177,0.0,11.0,50.0,50.0,50.0
178,1.0,35.0,50.0,40.0,42.63157894736842
179,0.0,215.0,50.0,40.0,43.333333333333336
180,1.0,38.0,40.0,30.0,39.23076923076923
181,0.0,11.0,70.0,30.0,53.333333333333336
182,0.0,6.0,80.0,60.0,71.66666666666667
183,0.0,7.0,90.0,40.0,72.5
184,1.0,11.0,90.0,40.0,63.45454545454545
185,0.0,12.0,90.0,70.0,77.85714285714286
186,0.0,15.0,120.0,40.0,88.33333333333333
187,1.0,0.0,70.0,40.0,57.93103448275862
